recipe_id,name,author,description,category,cuisine_type,keywords,ingredients,cooking_time,prep_time,total_time,servings,calories,rating,review_count,difficulty_level,mood,occasion,instructions,image_urls
FOOD_00001,Turkish Salad,Chef Sarah,A celebratory turkish salad perfect for movie_night. This celebratory dish is flavorful and great for movie_night.,Salad,Turkish,"celebratory,movie_night,turkish,salad","spices, rice, bread, lentils, carrots, chicken, beans, garlic, tomatoes, herbs",34,49,83,4,285,3.0,4466,Hard,celebratory,movie_night,1. Prepare ingredients. 2. Cook according to Turkish tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_1.jpg
FOOD_00002,Mediterranean Breakfast,Chef Michael,A light mediterranean breakfast perfect for winter_day. This light dish is nutritious and great for winter_day.,Breakfast,Mediterranean,"light,winter_day,mediterranean,breakfast","beans, tomatoes, spices, mushrooms, onions, spinach, rice",162,104,266,4,349,3.2,4050,Medium,light,winter_day,1. Prepare ingredients. 2. Cook according to Mediterranean tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_2.jpg
FOOD_00003,Chinese Fish Stew,Chef Lisa,A indulgent chinese main course perfect for party. This indulgent dish is nutritious and great for party.,Main Course,Chinese,"indulgent,party,chinese,main course","lentils, herbs, beef, tomatoes, mushrooms, rice, onions, vegetables, beans, chicken, garlic, bread, eggs, spinach",33,65,98,11,104,5.0,272,Medium,indulgent,party,1. Prepare ingredients. 2. Cook according to Chinese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_3.jpg
FOOD_00004,Mediterranean Beverage,Chef John,A refreshing mediterranean beverage perfect for picnic. This refreshing dish is nutritious and great for picnic.,Beverage,Mediterranean,"refreshing,picnic,mediterranean,beverage","beef, cheese, beans, chicken, spices, herbs",92,85,177,5,194,4.9,390,Medium,refreshing,picnic,1. Prepare ingredients. 2. Cook according to Mediterranean tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_4.jpg
FOOD_00005,Lebanese Lunch,Chef Lisa,A energizing lebanese lunch perfect for workout. This energizing dish is satisfying and great for workout.,Lunch,Lebanese,"energizing,workout,lebanese,lunch","beef, cheese, garlic, potatoes, eggs, spices, pasta",139,12,151,4,262,3.8,3058,Hard,energizing,workout,1. Prepare ingredients. 2. Cook according to Lebanese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_5.jpg
FOOD_00006,French Chocolate Mousse,Chef Lisa,A indulgent french dessert perfect for rainy_day. This indulgent dish is satisfying and great for rainy_day.,Dessert,French,"indulgent,rainy_day,french,dessert","bread, cheese, spinach, mushrooms, carrots, beans, potatoes, beef, garlic, spices, tomatoes, lentils, pasta, vegetables, onions",125,76,201,4,326,3.1,4091,Easy,indulgent,rainy_day,1. Prepare ingredients. 2. Cook according to French tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_6.jpg
FOOD_00007,Japanese Tomato Soup,Chef Lisa,A light japanese soup perfect for picnic. This light dish is nutritious and great for picnic.,Soup,Japanese,"light,picnic,japanese,soup","tomatoes, bread, herbs, lentils, beans, spinach, fish, onions, cheese, chicken, potatoes, eggs, vegetables",124,21,145,5,545,3.3,2743,Hard,light,picnic,1. Prepare ingredients. 2. Cook according to Japanese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_7.jpg
FOOD_00008,Thai Vegetable Soup,Chef John,A satisfying thai soup perfect for winter_day. This satisfying dish is flavorful and great for winter_day.,Soup,Thai,"satisfying,winter_day,thai,soup","bread, spices, lentils, rice, potatoes, beans, pasta, chicken",158,105,263,12,529,3.8,482,Hard,satisfying,winter_day,1. Prepare ingredients. 2. Cook according to Thai tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_8.jpg
FOOD_00009,Mediterranean Chicken Grill,Chef Sarah,A healthy mediterranean main course perfect for party. This healthy dish is satisfying and great for party.,Main Course,Mediterranean,"healthy,party,mediterranean,main course","eggs, bread, beans, rice, spices, pasta, mushrooms, beef, chicken, onions, cheese, tomatoes, herbs, spinach, lentils",57,116,173,8,528,4.2,2806,Hard,healthy,party,1. Prepare ingredients. 2. Cook according to Mediterranean tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_9.jpg
FOOD_00010,Indian Appetizer,Chef John,A celebratory indian appetizer perfect for summer_day. This celebratory dish is delicious and great for summer_day.,Appetizer,Indian,"celebratory,summer_day,indian,appetizer","garlic, eggs, mushrooms, tomatoes, spinach, vegetables, potatoes, rice, beef, beans",137,27,164,11,418,4.1,2296,Hard,celebratory,summer_day,1. Prepare ingredients. 2. Cook according to Indian tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_10.jpg
FOOD_00011,Mexican Beverage,Chef Sarah,A satisfying mexican beverage perfect for summer_day. This satisfying dish is satisfying and great for summer_day.,Beverage,Mexican,"satisfying,summer_day,mexican,beverage","carrots, fish, pasta, mushrooms, bread, tomatoes, beans, eggs, beef, garlic",156,106,262,6,148,3.7,1346,Easy,satisfying,summer_day,1. Prepare ingredients. 2. Cook according to Mexican tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_11.jpg
FOOD_00012,Turkish Sauce,Chef Lisa,A energizing turkish sauce perfect for winter_day. This energizing dish is nutritious and great for winter_day.,Sauce,Turkish,"energizing,winter_day,turkish,sauce","potatoes, pasta, herbs, mushrooms, vegetables, spinach, carrots, bread, eggs, fish, garlic",69,27,96,9,281,4.0,2184,Hard,energizing,winter_day,1. Prepare ingredients. 2. Cook according to Turkish tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_12.jpg
FOOD_00013,French Beverage,Chef Sarah,A hearty french beverage perfect for date_night. This hearty dish is flavorful and great for date_night.,Beverage,French,"hearty,date_night,french,beverage","garlic, lentils, fish",31,92,123,7,560,3.9,3491,Hard,hearty,date_night,1. Prepare ingredients. 2. Cook according to French tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_13.jpg
FOOD_00014,Italian Breakfast,Chef John,A satisfying italian breakfast perfect for date_night. This satisfying dish is delicious and great for date_night.,Breakfast,Italian,"satisfying,date_night,italian,breakfast","fish, tomatoes, beef, onions, pasta, chicken",50,83,133,2,782,5.0,1378,Easy,satisfying,date_night,1. Prepare ingredients. 2. Cook according to Italian tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_14.jpg
FOOD_00015,Mediterranean Salad,Chef John,A energizing mediterranean salad perfect for family_dinner. This energizing dish is flavorful and great for family_dinner.,Salad,Mediterranean,"energizing,family_dinner,mediterranean,salad","bread, fish, spices, beans, cheese, herbs, carrots, vegetables, spinach, pasta, onions, mushrooms, lentils, eggs",86,33,119,7,387,3.3,4284,Hard,energizing,family_dinner,1. Prepare ingredients. 2. Cook according to Mediterranean tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_15.jpg
FOOD_00016,Chinese Breakfast,Chef David,A indulgent chinese breakfast perfect for movie_night. This indulgent dish is satisfying and great for movie_night.,Breakfast,Chinese,"indulgent,movie_night,chinese,breakfast","vegetables, garlic, spinach",141,109,250,10,611,3.9,1336,Easy,indulgent,movie_night,1. Prepare ingredients. 2. Cook according to Chinese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_16.jpg
FOOD_00017,Vietnamese Appetizer,Chef David,A satisfying vietnamese appetizer perfect for summer_day. This satisfying dish is satisfying and great for summer_day.,Appetizer,Vietnamese,"satisfying,summer_day,vietnamese,appetizer","pasta, beef, herbs, tomatoes, mushrooms, potatoes",43,83,126,8,287,4.7,2408,Easy,satisfying,summer_day,1. Prepare ingredients. 2. Cook according to Vietnamese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_17.jpg
FOOD_00018,Italian Appetizer,Chef John,A cooling italian appetizer perfect for movie_night. This cooling dish is flavorful and great for movie_night.,Appetizer,Italian,"cooling,movie_night,italian,appetizer","vegetables, carrots, spinach, herbs, fish, pasta, lentils, beef, bread, tomatoes, cheese, mushrooms, beans",111,80,191,3,186,3.8,1365,Easy,cooling,movie_night,1. Prepare ingredients. 2. Cook according to Italian tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_18.jpg
FOOD_00019,Japanese Dinner,Chef John,A energizing japanese dinner perfect for summer_day. This energizing dish is satisfying and great for summer_day.,Dinner,Japanese,"energizing,summer_day,japanese,dinner","vegetables, beans, carrots, potatoes, fish, beef, lentils, spinach, chicken, tomatoes, pasta, garlic, onions, cheese, spices",99,28,127,1,172,4.1,1866,Easy,energizing,summer_day,1. Prepare ingredients. 2. Cook according to Japanese tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_19.jpg
FOOD_00020,Greek Lunch,Chef Michael,A indulgent greek lunch perfect for sunny_day. This indulgent dish is nutritious and great for sunny_day.,Lunch,Greek,"indulgent,sunny_day,greek,lunch","fish, beef, tomatoes, cheese, lentils, spinach, beans, spices, rice",52,63,115,4,288,3.6,3014,Hard,indulgent,sunny_day,1. Prepare ingredients. 2. Cook according to Greek tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_20.jpg
FOOD_00021,Thai Salad,Chef David,A energizing thai salad perfect for date_night. This energizing dish is satisfying and great for date_night.,Salad,Thai,"energizing,date_night,thai,salad","mushrooms, rice, bread, spinach, chicken, vegetables, eggs, fish, beef, potatoes, spices",135,75,210,1,238,3.4,4864,Easy,energizing,date_night,1. Prepare ingredients. 2. Cook according to Thai tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_21.jpg
FOOD_00022,Brazilian Appetizer,Chef John,A light brazilian appetizer perfect for movie_night. This light dish is flavorful and great for movie_night.,Appetizer,Brazilian,"light,movie_night,brazilian,appetizer","carrots, beef, bread",112,35,147,12,754,4.7,172,Easy,light,movie_night,1. Prepare ingredients. 2. Cook according to Brazilian tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_22.jpg
FOOD_00023,Moroccan Dinner,Chef Sarah,A healthy moroccan dinner perfect for picnic. This healthy dish is nutritious and great for picnic.,Dinner,Moroccan,"healthy,picnic,moroccan,dinner","potatoes, mushrooms, onions, vegetables, spices, eggs",153,11,164,11,192,4.5,2846,Medium,healthy,picnic,1. Prepare ingredients. 2. Cook according to Moroccan tradition. 3. Serve hot and enjoy!,https://example.com/food/recipe_23.jpg
