movie_id,title,release_year,genre,rating,votes,duration,description,director,cast,country,language,certificate,budget,revenue,keywords,mood,weather_suitable,time_suitable,imdb_id,poster_url,cluster
MOV_00001,Dark Whisper,1943,Horror,7.4,935618,174,"A calm horror film that's perfect for rainy morning. Directed by Bong Joon-ho, this movie explores themes of love.",Jordan Peele,Tom Hanks and Brad Pitt,UK,German,PG,272310554,647412689,"calm,rainy,morning,horror",calm,rainy,morning,tt1445199,https://example.com/posters/movie_1.jpg,2
MOV_00002,Beyond Story,1965,Western,8.3,6914,171,"A dark western film that's perfect for stormy evening. Directed by James Cameron, this movie explores themes of mystery.",Denis Villeneuve,Leonardo DiCaprio and Jennifer Lawrence,Germany,Korean,G,50792546,408943839,"dark,stormy,evening,western",dark,stormy,evening,tt2622631,https://example.com/posters/movie_2.jpg,3
MOV_00003,In Journey,1984,Animation,3.8,967196,157,"A intense animation film that's perfect for cloudy late_night. Directed by Greta Gerwig, this movie explores themes of love.",Bong Joon-ho,Leonardo DiCaprio and Ryan Gosling,Canada,German,G,25601779,711026086,"intense,cloudy,late_night,animation",intense,cloudy,late_night,tt4823498,https://example.com/posters/movie_3.jpg,0
MOV_00004,The Quest,1950,Crime,4.1,372628,109,"A romantic crime film that's perfect for cloudy evening. Directed by Peter Jackson, this movie explores themes of adventure.",Martin Scorsese,Meryl Streep and Jennifer Lawrence,France,Italian,R,145927134,994631208,"romantic,cloudy,evening,crime",romantic,cloudy,evening,tt4684531,https://example.com/posters/movie_4.jpg,1
MOV_00005,The Dream,1947,Mystery,4.4,988812,109,"A inspiring mystery film that's perfect for snowy morning. Directed by Denis Villeneuve, this movie explores themes of redemption.",Ryan Coogler,Emma Stone and Scarlett Johansson,France,Japanese,PG,133407135,800925830,"inspiring,snowy,morning,mystery",inspiring,snowy,morning,tt5408072,https://example.com/posters/movie_5.jpg,1
MOV_00006,Beyond Dream,1994,Musical,6.2,792595,154,"A calm musical film that's perfect for rainy late_night. Directed by Steven Spielberg, this movie explores themes of love.",Ridley Scott,Meryl Streep and Scarlett Johansson,Canada,Spanish,R,205880292,640830322,"calm,rainy,late_night,musical",calm,rainy,late_night,tt8852574,https://example.com/posters/movie_6.jpg,2
MOV_00007,The Journey,1972,War,8.0,356799,150,"A peaceful war film that's perfect for stormy evening. Directed by Quentin Tarantino, this movie explores themes of adventure.",Jordan Peele,Meryl Streep and Scarlett Johansson,USA,Arabic,PG-13,269750123,819150683,"peaceful,stormy,evening,war",peaceful,stormy,evening,tt3997281,https://example.com/posters/movie_7.jpg,3
MOV_00008,In Story,1953,War,6.5,816549,160,"A energetic war film that's perfect for snowy afternoon. Directed by Taika Waititi, this movie explores themes of love.",Denis Villeneuve,Emma Stone and Brad Pitt,UK,Korean,PG-13,129554982,63196678,"energetic,snowy,afternoon,war",energetic,snowy,afternoon,tt5041154,https://example.com/posters/movie_8.jpg,2
MOV_00009,Beyond Journey,1950,Musical,7.3,992942,90,"A funny musical film that's perfect for rainy afternoon. Directed by Bong Joon-ho, this movie explores themes of redemption.",Tim Burton,Emma Stone and Jennifer Lawrence,China,Portuguese,PG,168351411,429414718,"funny,rainy,afternoon,musical",funny,rainy,afternoon,tt7264956,https://example.com/posters/movie_9.jpg,2
MOV_00010,The Story,2006,Biography,3.1,580928,137,"A calm biography film that's perfect for sunny evening. Directed by David Fincher, this movie explores themes of friendship.",David Fincher,Tom Hanks and Brad Pitt,Brazil,Chinese,G,123912186,73370545,"calm,sunny,evening,biography",calm,sunny,evening,tt1527021,https://example.com/posters/movie_10.jpg,0
